,0
0,1000000.0
1,999481.6518471339
2,999269.1679525009
3,996634.9899284521
4,997013.6048411825
5,994439.8553117311
6,991264.959758216
7,990870.4367841084
8,986030.4136933442
9,985595.1747543117
10,986716.9796654612
11,970681.6292215905
12,981819.4458424668
13,982520.586585856
14,984771.2612925512
15,984340.2439498611
16,990941.400172434
17,1006657.0247068297
18,996343.9459071959
19,987106.2328104886
20,986964.1041768225
21,993255.7015913881
22,995117.8734604442
23,1009065.684596936
24,1023271.4395419643
25,1026647.5381900901
26,996524.2934013905
27,1002323.2938153907
28,1004153.8878346817
29,999261.0337532684
30,964432.4778466972
31,963294.3402641484
32,962616.8992132269
33,956055.5396627763
34,928934.6631917709
35,969353.2196568996
36,957236.7082225257
37,950689.8603119773
38,937359.4794578339
39,903758.066536604
40,894722.6786042419
41,914263.0313781397
42,880346.2752322902
43,870222.8288273036
44,862141.0491566185
45,921079.7447683236
46,933867.022108375
47,969232.5788483833
48,979520.5066468441
49,963691.5572039671
50,999754.5187894113
51,1021295.8766849071
52,995583.1725766686
53,977235.7304536598
54,1050166.7873899264
55,1031580.877170379
56,1041043.7840720575
57,1067188.1205135705
58,1042320.1630165343
59,1011247.7499391238
60,1030279.523721985
61,1048532.4539773664
62,1081503.1710384795
63,1094855.7362253082
64,1091157.6579291248
65,1069964.6066227318
66,1080382.0716229398
67,1113038.056176326
68,1117053.419885823
69,1092662.0840778106
70,1107839.5201174787
71,1120135.336971147
72,1118355.9310774172
73,1079451.5499191198
74,1098235.012845918
75,1091600.4471574456
76,1102388.2081544802
77,1126210.222020922
78,1121460.646465893
79,1122800.823094841
80,1148516.8063440265
81,1163598.7747013615
82,1164599.6580606445
83,1191840.8839524218
84,1195602.6739394434
85,1204960.332024755
86,1194461.335710558
87,1218307.9710097979
88,1196339.6952211794
89,1190639.983835907
90,1162220.8161796844
91,1172950.7570302724
92,1167651.6035297252
93,1207176.189516948
94,1193575.0393498412
95,1185999.387765089
96,1160345.9822279334
97,1158920.8136396431
98,1192604.6344480894
99,1172119.4075557354
100,1174838.0159689763
101,1192870.4604505019
102,1223213.35923084
103,1239659.9541300246
104,1230927.8552180654
105,1241507.6627808241
106,1241330.0459403615
107,1238076.107223989
108,1238627.553485838
109,1232429.8621791482
110,1227537.291263064
111,1225419.5100725698
112,1197638.481214445
113,1177002.799377539
114,1183541.0412864373
115,1185309.496993492
116,1187295.5048258717
117,1154691.1545777654
118,1152656.0473913436
119,1153602.9033188228
120,1183483.4190588158
121,1186245.8026428933
122,1193584.4586191904
123,1185730.6749380913
124,1190512.8558326531
125,1161537.5364763322
126,1168094.8332517263
127,1140439.8490282383
128,1141943.909639603
129,1143467.4861308718
130,1145063.890157649
